id-JP5338730B2    abstract-
id-FR2957389A1    abstract-Le procédé se présente sous la forme d'un circuit hydraulique qui comporte des éléments pour réchauffer un fluide afin d'augmenter son volume, donc sa pression puis de détendre ledit fluide dans un moteur (2), créant ainsi une force motrice. Après détente, on refroidit à nouveau ledit fluide afin de diminuer son volume, puis il est réinjecté dans ledit circuit par une pompe (1) et cela, dans un cycle continu. Les opératoins de réchauffage et de refroidissement sont réalisées dans des échangeurs de température (3) et (4) dans lesquels circule également un deuxième fluide qui est caloporteur et qui véhicule des calories et des frigories aux endroits adéquats dudit circuit. Le procédé permet l'exploitation de faibles deltats de température. L'invention concerne le domaine de la conversion des énergies.
id-US20110278859A1    abstract-In one general embodiment, a system includes a working fluid operable to be circulated through a working cycle. The working cycle includes one or more expander-generators driven by the working fluid to generate electrical power at a first condition; an evaporator heat exchanger; and a condenser heat exchanger. The system includes power electronics thermally coupled to a heat exchanger and adapted to convert the electrical power at the first condition to electrical power at a second condition; and a conduit in fluid communication with the working cycle and the heat exchanger. The conduit is adapted to circulate the working fluid through the heat exchanger such that heat generated by the power electronics is transferred to the working fluid.
id-US20120001436A1    abstract-An electric power generating system is provided that uses a wind turbine to generate waste-heat that is utilized in an organic Rankine Cycle drive that converts heat energy into rotation of a generator rotor for generating electricity. A hydrodynamic retarder may be provided that dissipates heat into a hot fluid by directing the flow of the fluid through the hydrodynamic retarder in a manner that resists rotation of blades of the wind turbine. The hot fluid circulating in the hydrodynamic retarder is a thermal heat source for vapor regeneration of organic heat exchange fluid mixture(s) used in the Rankine cycle, expansion of the organic heat exchange fluid being converted into rotation of the generator rotor.
id-KR101196229B1    abstract-해저 열수광상의 열을 이용한 발전 장치가 개시된다. 본 발명의 일 실시예에 따른 해저 열수광상의 열을 이용한 발전 장치는 열수광상의 열을 이용하여 발전하는 장치로서, 열수광상의 열을 공급하는 열공급부와, 열공급부로부터 공급되는 열에 의해 가열되는 히트파이프와, 히트파이프에 의한 온도차를 이용하여 구동하는 스털링엔진과, 스털링엔진의 구동력에 의해 전기를 발생시키는 발전기를 포함할 수 있다.
id-EP2412942A2    abstract-The present invention provides an organic Rankine cycle energy recovery system comprising features which provide for fire suppression and/or ignition supression in the event of an unintentional release of a flammable component of the system, for example a flammable working fluid such as cyclopentane, into a part of the of the system in which the prevailing temperature is higher than the autoignition temperature of the flammable component. In one embodiment the organic Rankine cycle energy recovery system comprises an inert gas source disposed upstream of a hydrocarbon evaporator and is configured to purge the hydrocarbon evaporator with an inert gas on detection of a leak thereby.
id-KR20120012193A    abstract-보일러에 응축기의열을 증기형태로 회수하여 전달하되 전달시에 에너지를국소하게 사용하기 위하여 증기압축기를사용하지 아니하고 열을 전달하는 방식이다 응축기의 둘러싼 물은 증기화할 때압력이 높아서 포화증기는 아니지만 약간의 조작만하면 열로 사용하는 것이 가능하다
id-KR100991919B1    abstract-본 발명은 폐열에 의해 구동되는 엔진과, 이 엔진을 이용하여 동력 및/또는 전기를 생산하는 발전방법에 관한 것으로, 본 발명의 장치는 피스톤(P)이 승강되는 실린더(11)가 다수 형성되고, 크랭크축(C)이 내부에 구비된 실린더 블록(10)과; 상기 실린더 블록(10)의 일측면에 구비되어 크랭크축(C)의 일단과 연결된 캠축(C')이 구비되는 분배기(20)와; 상기 분배기(20) 내의 캠축(C')과 연동되어 개폐 조절되는 다수의 밸브(30)와; 상기 실린더 블록(10)의 다른 측면에 구비되어 독립적으로 형성되는 실린더(41)와 이 실린더(41) 내에 설치되며 크랭크축(C)과 연결되는 피스톤(P')이 구비된 펌핑부(40)와; 상기 크랭크축(C)의 다른 끝단에 위치되어 동력을 발생하는 동력발생부(50)와; 상기 실린더(11, 41)와 밸브(30)에 각각 구비되는 입,출구 노즐(60)을 포함하여 된 것을 기술적 특징으로 한다. 이에 의해 폐열 및/또는 온수를 이용하여 구동력 및/또는 전기를 생산할 수 있어 친환경적이고, 또한 밸브를 기계적인 방법으로 개폐 제어함으로써 오작동 없이 항상 정확하게 개폐 제어할 수 있다.
id-KR101019869B1    abstract-본 발명은 폐열에 의해 구동되는 엔진과 이를 이용한 발전방법에 있어서, 엔진(100)은 내부에 다수의 실린더(11)가 구비된 실린더블록(10)과; 상기 실린더(11) 내에 구비되며 상면에 2개의 조작핀(21)이 구비된 피스톤(20)과; 상기 실린더블록(10) 내에 설치되며 피스톤(20)과 연결되어 피스톤(20)을 승강시키는 크랭크축(30)과; 상기 실린더블록(10)의 상부에 구비되어 피스톤(20)의 조작핀(21)에 의해 가스의 급,배기를 조절하는 매니폴드(40)와; 상기 크랭크축(30)의 일측에 구비되는 마그네트(50)로 구성되되; 상기 피스톤(20)은 상사점과 하사점의 위치에 있는 2개의 피스톤(20A, 20B)이 한 쌍으로 작동하며; 상기 매니폴드(40)는 상사점에 위치된 피스톤(20A)에 의해 상사점에 있는 피스톤(20A)의 급기밸브와, 하사점에 있는 피스톤(20B)의 배기밸브가 동시에 개방되는 것을 기술적 특징으로 한다. 이에 의해 폐열 및/또는 온수를 이용하여 구동력 및/또는 전기를 생산할 수 있어 친환경적이고, 또한 밸브를 기계적인 방법으로 개폐 제어함으로써 오작동 없이 항상 정확하게 개폐 제어할 수 있다.
id-KR101207799B1    abstract-본 발명은 기력발전소의 연료전지 시스템에 관한 것으로, 외부에서 유입되는 가스연료를 압축하여 공급하는 연료공급부, 이 연료공급부로부터 공급되는 가스연료를 탈황처리하는 탈황처리부, 이 탈황처리부를 거치며 탈황처리된 가스연료에 물을 공급하는 물공급부, 이 탈황처리부를 거친 가스연료와 물공급부로부터 공급되는 물을 혼합하여 습분연료를 형성하는 습분연료생성부, 이 습분연료생성부로부터 생성된 습분연료를 개질하고 메탄을 제외한 고 탄화수소를 제거하는 연료전처리부, 및 이 연료전처리부로부터 메탄가스를 공급받아 전기 화학 반응을 일으킴으로서 배기가스를 발생시키는 연료전지스택을 포함하는 것을 특징으로 한다. 본 발명은 종래 기술과 달리 고온형 연료전지인 용융탄산염 연료전지를 통해 발생되는 중저온의 폐열을 메인발전기의 워밍업용 연료로 재활용함으로써 기존에 구비되는 보조보일러를 제거할 수 있어 유지, 보수비용을 줄일 수 있고, 중저온의 폐열에 포함된 수소가스를 포집하여 그린에너지로 활용할 수 있어 신재생에너지를 실현할 수 있다.
id-JP5951204B2    abstract-
id-KR20120033458A    abstract-본 발명은 발전과정에서 발생되는 고온의 배기가스, 고온 스팀 및 응축열 등을 발전장치 내부에서 가열이 필요한 부분과 열교환할 수 있는 순산소연소 발전장치에 관한 것으로, 열 효율과 에너지 절감 효과가 우수하다.
