id-EP3402968B1    abstract-
id-CN105715407A    abstract-本发明属于汽车节废热回收技术领域，特指一种基于有机朗肯循环原理的车辆发动机废热回收系统，冷媒泵的出口端连接三条支路，第一支路通过管路连接回热器；第三支路通过管路连接EGR沸腾蒸发器的尾端；第一支路连接回热器后的管路与第三支路连接EGR沸腾蒸发器的尾端后的管路汇合形成汇合支路，汇合支路通过管路依次连接冷却液沸腾器、EGR沸腾蒸发器的前端；第二支路通过管路连接尾气沸腾器；第二支路连接尾气沸腾器后与汇合支路汇合后通过管路依次连接膨胀机、回热器、冷凝器、储液罐、冷媒泵的进口端；本发明是一种对发动机尾气排气废热，发动机尾气再循环废热和发动机缸套冷却液的废热回收，把热能转化为动能，实现能量的回收，降低车辆CO 2 的排放。
id-US9845750B2    abstract-Methods and systems are provided for exhaust gas heat recovery at a split exhaust gas heat exchanger. Exhaust gas may flow in both directions through an exhaust bypass passage and the heat exchanger coupled to the bypass passage. Warm or cold EGR may be delivered from the exhaust passage to the engine intake manifold and heat from the exhaust gas may be recovered at the heat exchanger.
id-US20210140391A1    abstract-A number of variations may include a system which may include an electrified turbocharger along with a waste heat recovery system which may have at least a first boiler operably coupled to a vehicle engine system in order to recover waste heat therefrom. The waste heat recovery system may additionally include at least one waste heat recovery expander. The waste heat recovery system may be operably coupled to a turbocharged system which may have at least one electrified turbocharger. The electrified turbocharger and the waste heat recovery expander may be electrically coupled to a single electric machine.
id-CN105443177B    abstract-本发明揭示了一种往复发动机余热回收系统及方法，所述系统包括第一换热器、第二换热器、蒸发器、膨胀机、发电机、油分离器、冷凝器、液体泵、循环泵、预热器；所述第一换热器设有烟气进口，并通过该烟气进口连接往复发动机，第一换热器还设有烟气出口；第二换热器设有分别与往复发动机连接的缸套水进口、缸套水出口；蒸发器、膨胀机、油水分离器、冷凝器、液体泵、预热器依次连接，预热器连接蒸发器，膨胀机连接发电机；第二换热器、第一换热器、蒸发器、预热器、循环泵依次连接，形成环路，载流介质在该环路内循环。本发明提出的往复发动机余热回收系统及方法，可利用往复发动机的余热发电，节能环保。
id-CN105698432A    abstract-本发明公开了一种适用于内燃机排气余热回收的多功能模式CO 2 冷电联合循环系统，系统组成有：内燃机、加热器、膨胀机、联轴器、发电机、低压冷却器、储气罐、截止阀、蒸发器、膨胀阀、分流三通阀、中压冷却器、第一级压缩机和第二级压缩机。第一级压缩机和第二级压缩机与膨胀机轴连接，并由膨胀机驱动。系统采用CO 2 作为循环工质，内燃机的高温排气作为加热器的输入热源。本发明循环系统减少了系统部件，共用驱动部件；通过控制调节分流三通阀、截止阀和联轴器的不同状态，可实现全制冷模式、冷电联产模式、全发电模式三种功能模式的切换。
id-CN105464730B    abstract-本发明揭示了一种低温烟气以及低温热流体的余热回收系统，包括烟气换热器、热流体换热器、闪蒸罐、ORC子系统、凝汽式螺杆膨胀发电站、蒸汽冷凝器；凝汽式螺杆膨胀发电站包括膨胀机、膨胀机驱动设备；ORC子系统包括蒸发器、预热器、液体泵、冷凝器、膨胀机、膨胀机驱动设备；低温热流体预先加热低温热水，然后加热后热水进入烟气换热器，烟气通过烟气换热器产生高温高压热水，高温高压热水在闪蒸罐内闪蒸，饱和蒸汽输送至凝汽式螺杆膨胀发电站，经蒸汽凝汽器冷凝为水后输送回换热器内；另一部分饱和水通过ORC子系统，依次经过蒸发器、预热器后，低温热水输送回换热器内，完成一次循环。本发明可利用往复发动机等的尾气及烟气的余热发电，节能环保。
id-EP3199774B1    abstract-
id-JP6721351B2    abstract-
id-CN108603418A    abstract-一种热回收系统，该热回收系统被布置成与被配置为第一闭环热力学朗肯循环系统的第一闭环系统(S1)一起使用，以将来自发热单元(1)的热转换成电能(E)。所述热回收系统包括第二闭环系统(S2)，该第二闭环系统(S2)包括被配置为第二闭环热力学朗肯循环系统的第二系统工质(W2)，该第二闭环热力学朗肯循环系统被布置成将由发热单元(1)生成的至少一个热流(HS1)中的热转换成电能(E)的第一批次(E1)电能以及包括循环的第三系统工质(W3)的第三闭环系统(S3)。在第二闭环热力学朗肯循环系统中，汽化的第二工质(W2)的冷凝热焓被转移到所述第三系统工质(W3)，并且来自第三系统工质(W3)的热被用作第二闭环系统(S2)的初始热输入，从而将来自第三系统工质(W3)的热转换成电能(E)的第二批次(E2)电能。本发明还涉及一种使用热回收系统以及被配置为第一闭环热力学朗肯循环系统的第一闭环系统以将来自发热单元的热转换成电能的方法。
id-CN105515447B    abstract-本发明公开了一种汽车尾气温差发电热交换装置，它包括内为中空状并具有进气口和出气口的集热器箱体、设置在集热器箱体外围的冷却水箱体、设置在集热器箱体与冷却水箱体之间的热电模块，所述热电模块的热端与集热器箱体的外表面紧贴，热电模块的冷端与冷却水箱紧贴，所述集热器箱体的高度由进气口端到出气口端递减，在集热器箱体的内表面设置有多个平行设置的圆弧形凹槽。弧形凹槽的分布增加了气流与集热器箱体的接触面积使热电模块的热端能充分受热，同时集热器箱体的厚度由入口到出口逐渐减小逐渐增加了通道中气流的速度，进而有效的提高了温差发电装置的发电动率和发电效率，有利于提高汽车尾气余热的利用率。
id-CN107017330A    abstract-本发明公开一种车辆的发电装置。在将不需要温度差的热电变换元件(具体而言半导体单晶具有n型半导体部、p型半导体部以及处于它们之间的本征半导体部，本征半导体部具有比n型半导体部以及p型半导体部小的带隙)在利用了车辆的废热的发电中利用时，并非听其自然地使热电变换元件发电，而是能够适当地控制发电电力。在连接具备上述半导体单晶的热电变换模块(10)和负载设备(32)的电路(30)中设置电流调整器(34)，使从热电变换模块(10)施加到电路(30)的电流可变。针对该电流调整器(34)设置控制装置36，利用控制装置(36)操作电流调整器(34)，从而控制热电变换模块(10)的发电电力。
id-CN107035524B    abstract-一种用于最小化通过排出烟囱(28)的热损失的阻尼器组件(100)包括能够安装在烟囱(28)内的壳体(102)和接收在壳体(102)内的囊(104)。囊(104)能够在第一位置与第二位置之间选择性地移动，在该第一位置，囊(104)放气并且接收在壳体(102)内，在该第二位置，囊(104)定位在壳体(102)外侧并且充气，使得囊(104)的周边表面接触烟囱(28)的内侧壁，以产生气体密封。
id-CN105484811B    abstract-本发明揭示了一种低温热流体回收利用系统，包括烟气热水换热器、闪蒸罐、第一ORC子系统、第二ORC子系统、螺杆膨胀发电站，螺杆膨胀发电站包括第三膨胀机、第三膨胀机驱动设备；烟气通过烟气热水换热器产生高温高压热水，高压热水在闪蒸罐内闪蒸，饱和蒸汽输送至螺杆膨胀发电站，出口蒸汽输送至第二ORC子系统，依次经由蒸发器、预热器；另一部分饱和水通过第一ORC子系统，依次经过系统的第一蒸发器、第一预热器后，与第二ORC子系统回水共同输送回烟气热水换热器内，完成一次循环。本发明提出的低温热流体回收利用系统，可利用往复发动机的余热发电，节能环保。
