id-EP2393996B1    abstract-
id-US7963110B2    abstract-In various embodiments, systems for providing a constant electrical output from a compressed gas energy storage and recovery system include a hydraulic-pneumatic energy storage and recovery system configured to provide a varying pressure profile at least at one outlet, a hydraulic motor-pump in fluid communication with the outlet, and a control system for enabling the constant electrical output by controlling at least one of pressure, piston position, power, flow rate, torque, RPM, current, voltage, frequency, or displacement per revolution.
id-US8589038B2    abstract-A hydraulic drive system for a working machine provides improved safety during forced regeneration. Upon input of a forced regeneration command signal from a forced regeneration switch, a controller detects non-operated states of all hydraulic actuators such as an arm cylinder arranged on a hydraulic excavator based on a lock detection signal from a gate lock detection switch, and also an attitude of a front working mechanism. The attitude is proper from the standpoint of safety. The detection is based on an arm angle signal from an arm angle sensor, a bucket angle signal from a bucket angle sensor and a boom pressure signal from a boom pressure sensor. Taking the detection of the non-operated states and proper attitude as conditions, the controller outputs control signals to a boosting proportional solenoid valve and flow-rate controlling, proportional solenoid valve to make a forced regenerator conduct forced regeneration.
id-FI124026B    abstract-
id-KR101493126B1    abstract-본 발명은, 회로의 유체측 상의 복합 전기 발전기/모터(332)에 결합된 복합 유체 모터/펌프(330) 및 회로의 가스측 상의 고압 가스 저장고와 통신하는 축적기(316, 317) 및 증강기(318, 319)와 같은 개방된-공기 유압-공압 실린더 어셈블리를 이용하는 에너지 저장 및 회수 시스템(300)에서 가스를 급속하게 등온 팽창 및 등온 압축하기 위한 시스템 및 방법에 관한 것이다.  이 시스템은, 팽창 또는 압축 중인 가스를 열적으로 조절하기 위해 실린더 어셈블리 또는 저장고 중 적어도 하나와 통신하는 열 전달 서브시스템을 사용한다.
id-JP5801914B2    abstract-
id-EP2435717B1    abstract-
id-US8807155B2    abstract-A regulator that performs control such that a tilt angle of a variable volume pump increases as a pilot pressure in a pilot flow passage decreases is provided, and when a controller determines that all of a plurality of operation valves for controlling a flow of a discharged oil that is led from the variable volume pump to respective actuators are in a neutral position, the controller supplies the discharged oil from the variable volume pump to a regenerative hydraulic motor by setting a solenoid valve in an open position and sets a pilot flow passage change-over solenoid valve in a blocking position such that the pilot pressure led to the regulator through the pilot flow passage is reduced by a pressure reducing valve.
id-EP2251549B1    abstract-
id-US20130133853A1    abstract-A device for fluid power recuperation with reduced heat losses and increased efficiency of fluid power recuperation combined with better manufacturability and possibility of using off-the-shelf gas receivers (bottles). The device comprises at least one hydropneumatic accumulator, containing in its shell a fluid port communicating with the fluid reservoir of the accumulator separated from the gas reservoir of the accumulator by a movable separator. The gas reservoir of the accumulator communicates via a gas port with at least one gas receiver containing a regenerating heat exchanger made in the form of a metal porous structure. The aggregate volume of the material of the regenerating heat exchanger is in the range from 10 to 50% of the internal receiver volume and the aggregate area of the heat exchange surfaces of the regenerating heat exchanger reduced to the aggregate internal receiver volume exceeds 2000 cm 2 /liter. At gas compression or expansion the heat exchange between the gas and the regenerating heat exchanger occurs at small average distances between the gas and the heat exchange surfaces and on a large heat exchange area, and, therefore, with smaller temperature differentials, which increases reversibility of the heat exchange processes and recuperation efficiency. The proposed device has the following properties:—reduced heat losses and increased efficiency of fluid power recuperation;—better manufacturability;—possibility of using off-the-shelf gas receivers of any type in the device.
id-US8550749B2    abstract-An improved fish passage apparatus is combined with hydroelectric power generation to facilitate migration of fish between water bodies of different heights with minimal injury or trauma to fish. It may also be optimized for power generation when fish are not moving through it. The fish passage apparatus comprises a connecting tube providing fluid communication between upper and lower water bodies, an upper valve in the connecting tube adapted to control flow of water to or from an upper water body, a lower valve in the connecting tube adapted to control flow of water to or from a lower water body, and a working tube opening into the connecting tube between the upper and lower valves a working portion of which extends functionally vertical to above a water level of the upper body of water and to below a water level of the lower body and is vented at its top such that water can flow freely in and out of the working portion. The working tube contains a means for restricting flow thereby increasing the safety to fish passing through the connecting tubes.
id-US8550748B2    abstract-An improved fish passage apparatus is combined with hydroelectric power generation to facilitate migration of fish between water bodies of different heights with minimal injury or trauma to fish. It may also be optimized for power generation when fish are not moving through it. The fish passage apparatus comprises parallel connecting tubes providing fluid communication between upper and lower water bodies, upper valves in each connecting tube adapted to control flow of water to or from an upper water body, lower valves in each connecting tube adapted to control flow of water to or from a lower water body, and working tubes opening into each connecting tube between the upper and lower valves a working portion of which extends functionally vertical to above a water level of the upper body of water and to below a water level of the lower body and is vented at its top such that water can flow freely in and out of the working portion.
id-US8550747B2    abstract-An improved fish passage apparatus is combined with hydroelectric power generation to facilitate migration of fish between water bodies of different heights with minimal injury or trauma to fish. It may also be optimized for power generation when fish are not moving through it. The fish passage apparatus comprises a variable inlet connected to a connecting tube providing fluid communication between upper and lower water bodies, an upper valve in the connecting tube adapted to control flow of water to or from an upper water body, a lower valve in the connecting tube adapted to control flow of water to or from a lower water body, and a working tube opening into the connecting tube between the upper and lower valves a working portion of which extends functionally vertical to above a water level of the upper body of water and to below a water level of the lower body and is vented at its top such that water can flow freely in and out of the working portion.
id-EP2273133A2    abstract-A hydraulic system including a hydraulic power source (102) having an output and a directional control valve (106) coupled to the output of the hydraulic power source. The system also includes a hydraulic cylinder (108) coupled to the directional control valve that receives hydraulic fluid at a first port and expels it at a second port as it moves a load (114) at a movement rate, a fixed displacement motor (150) coupled the directional control valve and receiving hydraulic fluid expelled by the hydraulic cylinder and a variable displacement pump (154) attached to a drive arm (152) of the motor.
