id-EP3303035B1    abstract-
id-US10065614B2    abstract-A system and method for variably controlling regenerative braking are provided. The system includes an imaging device that is configured to generate image information by photographing a front vehicle and a road situation and an accelerometer that is configured to sense acceleration of the front vehicle or a subject vehicle. A radar sensor is configured to sense a distance between the front vehicle and the subject vehicle. A vehicle controller is configured to recognize the acceleration of the front vehicle or the subject vehicle, the distance between the front vehicle and the subject vehicle, and whether a brake light of the front vehicle is turned on, to determine whether to actively decelerate the subject vehicle, and execute active deceleration.
id-FR3035844A1    abstract-Dispositif de commande (300) de l'intensité du freinage pour un véhicule automobile du type comprenant un dispositif d'anticipation des obstacles (100), un capteur de vitesse instantanée du véhicule (50), une commande de freinage (220) actionnable par un conducteur du véhicule, et un système (200) de freinage et conversion de l'énergie cinétique du véhicule en énergie électrique, le dispositif de commande (300) étant configuré pour fournir au système (200) de freinage et conversion une commande calculée (C) de freinage pour, en fonction de la vitesse instantanée du véhicule fournie par le capteur de vitesse instantanée (50), adapter la vitesse du véhicule pour l'approche d'un obstacle tout en optimisant la récupération d'énergie par le système (200) de freinage et conversion d'énergie.
id-CN106314408B    abstract-本发明涉及用于运行具有电动机的车辆特有的制动系统的方法，具有下述步骤：确定关于要求的理论车辆延迟的至少一个制动预设参量（s）；和通过下述方式至少部分地在应用电动机的条件下实施所要求的理论车辆延迟：在考虑预设的或规定的特性曲线（k）和至少一个制动预设参量（s）的条件下，确定关于要引起的理论电机制动力矩的至少一个理论参量，并且相应地控制电动机，其中在考虑关于制动系统的至少一个车轮制动缸的至少一个气隙和/或制动系统的至少一个制动回路的至少一个体积压力关系的至少一个当前信息（l1）的条件下，至少一次确定（P）特性曲线（k）。同样，本发明涉及用于车辆特有的制动系统的至少一个电动机的控制设备。此外，本发明涉及用于车辆特有的制动系统的电动机和用于车辆的制动系统。
id-DE102015110049A1    abstract-Die Erfindung bezieht sich auf ein Kraftfahrzeug mit einem Hybridantrieb, der mindestens ein Rad (4, 6, 8, 10) umfasst, das durch eine elektrische Maschine antreibbar ist, wobei eine Rekuperationseinrichtung vorgesehen ist, die in einer Rekuperationsphase bei einem Bremsvorgang eine Rekuperation von Energie ermöglicht, wobei eine Bremsanlage (12) mit einem Pedal (14), mindestens einem Hauptbremszylinder (18, 20, 26) und mindestens einer Radbremse (22, 24, 28, 30) vorgesehen ist, die die Radbremse (22, 24, 28, 30) aufgrund einer Bewegung des Pedals (14) und einer Bewegung mindestens eines Kolbens in Bremsrichtung im Hauptbremszylinder (18, 18‘) mittels eines Bremsdruckes fluidisch betätigt, wobei eine Druckminderungsventileinrichtung (36) vorgesehen ist, die in der Rekuperationsphase den Bremsdruck vermindert und wobei ein Kompensator (18) zur Kompensation einer hydraulischen Wirkung der Druckminderungsventileinrichtung (36) vorgesehen ist, wobei mindestens ein weiterer Hauptbremszylinder (20) vorgesehen ist, der zumindest einen ersten und einen zweiten Kolben (44, 46) aufweist, die über ein erstes Verbindungsorgan (48) miteinander gekoppelt sind und den Hauptbremszylinder (20) in mindestens drei Kammern (50, 52, 54) unterteilt, von denen mindestens eine erste und eine zweite Kammer (50, 52) als Hydraulikammern ausgebildet sind und die dritte Kammer (54) ein Ausgleichsorgan (56, 57) aufweist und als Kompensator mit Rückstellfunktion ausgebildet ist, wobei der erste Kolben (44) eine Durchgangsöffnung (66) zur fluidischen Verbindung der ersten Kammer mit der zweiten Kammer (50, 52) aufweist, wobei der erste Kolben (44) durch ein zweites Verbindungsorgan (62) entgegen der Bremsrichtung mit einem Kolben (64) eines Hydraulikaktuators (42) der Druckminderungsventileinrichtung (36) gekoppelt ist, verschließbar ist, und für den ersten oder den zweiten Kolben (44, 46) ein Anschlagorgan (60) vorgesehen ist, derart, dass der Hauptbremszylinder (20) auch die Funktion einer Druckregeleinheit ausführt.
id-CN106347330B    abstract-本发明涉及车辆的控制装置，用于在实施再生扩大控制的车辆中，能够良好地实施碰撞避免辅助控制。预读取减速辅助控制部(70)将预测为车辆结束减速的位置设定为目标减速结束位置，为了车辆的减速在目标减速结束位置结束而引导驾驶员释放加速踏板，在加速踏板正被释放的状态下，实施再生扩大控制来产生比通常大的减速度。预读取减速辅助控制部(70)从碰撞避免辅助ECU(90)读入碰撞避免辅助控制标志(F)，在正实施碰撞避免辅助控制时中止再生扩大控制。
id-WO2017007509A8    abstract-This invention relates to a kinetic energy recovery system under braking designed for use in any type of motor vehicle or towed vehicle to partially eliminate the need for a conventional hydraulic, pneumatic or electric conventional braking system and to recover the kinetic energy under braking for use in acceleration of the vehicle. The system includes motor hydro-pumps (A), connected to a hydraulic distributor (B), through solenoid valves (1) and a connector (210) and connected to a pneumohydraulic tank (D) by the same solenoid valves (1 ) and a connector (202). The tank (D) is connected with the distributor (B) by a connector (217), and with the pneumohydraulic cylinders (E and F), by the connectors (214, respectively 218). The distributor (B) communicates with the cylinder (E) by connector (213) and is also connected to the cylinder (F) by connector (216). A fluid-type equilibrator (G) is linked to the motor hydro-pumps (A) by connectors (204) and hydraulic accumulators ?(H), mounted on the motor hydro-pumps (A).
id-WO2017010900A1    abstract-The brake kinetic energy recovery system, according to the invention, consists of the motor hydraulic pumps (A and A 1 ) which are mounted on the wheels of the vehicle, a distributor (B), of the hydraulic tanks (C and D) in connection with the air tanks (40 and 46), a pneumohydraulic cylinder (E), an oil tank (24) connected to an air tank (26), the control thereof being performed by means of the distributors (3, 3') provided with the double circuit solenoid valves (18, 19) and of the solenoid valves (28 and 29), assemblies that are connected to each other by means of the lines (16, 17, 22, 23, 25, 27, 36 37, 39, 41, 42, 45, 48, 50, 51, 53, 54 and 55). The motor hydraulic pumps (A and A 1 ) consist of the rotors (1), the stators (2) and the distributors (3 and 3'), the latter being coupled together, the hydraulic connection between the distributors (3 and 3') and the stators (2) being performed by the lines (16 and 17). The stator (2) and the flange (13) are provided with the circular channels (g) in connection with some radial channels (h) which are coupled with a cross channel (i), whereas any leakage of oil between the stator (2) and the rotor (1) can be disposed through the exit channel (j).
id-DE102015010302A1    abstract-Die Erfindung betrifft eine Steuerungseinrichtung (1) zum Steuern der Bremsanlage eines Nutzfahrzeugs. Die Steuerungseinrichtung (1) umfasst ein berührungsempfindliches Display (2), mittels welchem vom Benutzer der Steuerungseinrichtung (1) wenigstens eine Funktion der mit der Steuerungseinrichtung (1) zusammenwirkenden Bremsanlage einstellbar ist.
id-DE102015114173A1    abstract-Eine wesentlich optimierte Energierückgewinnung bei Hybridfahrzeugen wird durch die optimale Ausnutzung der beim Bremsvorgang entstehenden Energie erreicht. Hierbei wird nicht nur die durch das Komprimieren der Luft im Gasspeicher erreichte Energierückgewinnung verwirklicht, sondern auch die beim Komprimieren und Dekomprimieren der Luft freiwerdende Temperaturerhöhung bzw. -erniedrigung des Gases und auch der Wärme an weiteren Teilen des Bremssystems. Über ein geeignetes Wärmeaustauschsystem wird der Wärme-/Kältefluss an den jeweiligen Bauteilen übernommen und einem entsprechenden Speicher und Nutzungssystem zugeführt.
id-DE102015010897A1    abstract-Fahrzeug (1), aufweisend eine Brennkraftmaschine (3), die ein Antriebsmoment an zumindest einem Rad (2) des Fahrzeugs (1) bereitstellt, eine Abgasreinigungseinrichtung (4), die von einem Abgas der Brennkraftmaschine (3) durchströmt wird und mit zumindest einer chemischen Verbindung aus dem Abgas beladen werden kann, und eine Bremsanlage (5), die an zumindest einem Rad (2) ein dem Antriebsmoment entgegen gerichtetes Verzögerungsmoment aufbringen kann, wobei bei einer Beladung der Abgasreinigungseinrichtung (4) mit der Verbindung oberhalb eines Schwellwerts ein Regenerationsbetrieb eingeleitet wird, bei dem das abzugebende Antriebsmoment der Brennkraftmaschine (3) um einen definierten Betrag erhöht wird und die Bremsanlage (5) gleichzeitig ein Verzögerungsmoment erzeugt, das diesem Betrag entspricht.
