id-KR20130106429A    abstract-초임계 열 회수 증기 발생기는 내부 영역을 형성하고 가스 입구 및 가스 출구를 갖는 덕트를 포함한다.  덕트는 가스 입구로부터 가스 출구로 가스를 전달하도록 구성된다.  가스 입구와 가스 출구 사이의 덕트의 부분은 내부 영역의 배기 가스 유동 세그먼트를 형성한다.  초임계 증발기가 내부 영역에 배치되고, 재가열기가 내부 영역에 배치된다.  재가열기 및 초임계 증발기는 배기 가스의 유동에 대해 서로 인접하여 배기 가스 유동 세그먼트 내에 배치된다.
id-EP2615265B1    abstract-
id-WO2013109581A1    abstract-A method is provided for generating and distributing electricity via an electrical grid, wherein a fossil fuel plant and a renewable energy electricity generating station are interconnected with the electrical grid and are both operable to generate electricity output. The electricity output is directed from both the fossil fuel plant and the renewable energy electricity generating station to the electrical grid for distribution. Then, at the fossil fuel plant, at least a portion of the electricity output is directed to within the plant and utilized in generating hydrogen. The method provides further a reacting step wherein the generated hydrogen reacts with carbon dioxide to produce methane. Continued operation of the fossil fuel plant is conducted utilizing the produced methane as fuel, to generate electricity output, and also, capturing carbon dioxide exhaust and utilizing it in the reacting step.
id-US20150136374A1    abstract-A heat exchanger assembly, comprising: heat exchanger pipework which comprises a plurality of elongate tube elements which extend in spaced relation and a plurality of pipe end couplings which fluidly connect open ends of respective tube elements, wherein the pipe end couplings each comprise a main body part to which the open ends of the respective tube elements are fixed, and an enclosure part which is fixed to the main body part and provides a closed fluid connection between the open ends of the respective tube elements; and a plurality of fins which extend in spaced relation and optionally substantially orthogonally to the tube elements, wherein the fins each comprise a sheet element, optionally a single, continuous sheet element, which includes a plurality of apertures through which extend respective ones of the tube elements, and a plurality of fin coupling elements which are located within respective ones of the fin apertures to interface the tube elements to the sheet elements.
id-GB2499572A    abstract-A heat exchanger assembly has elongate U-shaped tube sections 85, each with two spaced elongate tube elements 93 connected at one end by a 180 degree bend 91 with the other ends open and in spaced relation, and pipe end couplings 103 which fluidly connect the open ends of respective tube elements; and a plurality of fins 87 which extend in spaced relation and substantially orthogonally to the tube elements 93. Also claimed is a method of manufacturing a heat exchanger involving brazing tubes 93 to apertured sheets (171, fig 13) by fin coupling elements (175, fig 13).
id-EP2802821B1    abstract-
id-KR20140127365A    abstract-본 발명은 압축기(5), 적어도 하나의 버너(6,7) 및 적어도 하나의 가스 터빈(8,9)을 구비한 가스 터빈 장치(2)와, 터빈 출구(12)에 연결된 보일러 입구측(10), 연도부(15)에 연결된 제 1 보일러 출구(13) 및 제 2 보일러 출구(14)를 구비한 폐열 보일러 조립체(3)와, 상기 제 2 보일러 출구(14)를 압축기 입구(18)에 연결하는 배기 가스 재순환 덕트(4)를 갖는, 가스 터빈 플랜트(1)에 관한 것이다. 상기 폐열 보일러 조립체(3)가 상기 보일러 입구측(10)에 연결되고 상기 제 1 보일러 출구(13)로 안내되는 제 1 보일러 배기 가스 경로(20)를 구비한다는 점에서, 그리고 상기 폐열 보일러 조립체(3)가 상기 보일러 입구측(10)에 연결되고 상기 제 1 보일러 배기 가스 경로(20)로부터 분리되게 상기 제 2 보일러 출구(14)로 안내되는 제 2 보일러 배기 가스 경로(21)를 구비한다는 점에서 단순한 구조체가 달성될 수 있다.
id-KR101320593B1    abstract-본 발명은 히트펌프를 사용하는 열병합 발전시스템에 관한 것으로, 이는 동절기에 발전시스템의 기기에 상존하는 손실열을 히트펌프에 의해 회수하여 에너지 생산에 활용함으로써 발전 효율 및 플랜트 효율을 증대시킴은 물론 연료의 사용을 감축하여 온실가스의 배출량을 줄일 수 있고, 하절기에는 방출열을 활용하여 히트펌프를 가동시킴으로써 가스터빈의 인입공기를 냉각하고 이에 따라 가스터빈의 출력을 향상시킬 수 있는 효과가 있다.
id-JP2015511291A    abstract-本発明は、自動車に適用可能な内燃エンジンの廃熱回収装置に用いられるランキンプロセスの蒸気発生器に関し、熱交換器（３）が配置されている熱交換チャンネル（２）と、前記熱交換チャンネル（２）をバイパスするバイパスチャンネル（４）とを備え、前記熱交換チャンネル（２）及び前記バイパスチャンネル（４）は、蒸気発生器（１）の動作中に加熱流体の流通を受けることができ、前記蒸気発生器（１）の動作中に、前記熱交換器（３）は、蒸発させる媒体の流通を受けることができ、前記熱交換チャンネル（２）は、前記バイパスチャンネル（４）を覆う。【選択図】図１
id-US9086015B2    abstract-An integrated oxy-combustion turboexpander process including producing an enriched carbon dioxide product stream, by combusting a compressed synthetic air stream, including an oxygen-enriched stream and a carbon dioxide recycle stream, with a fuel stream and expanding the combustion stream thereby producing the carbon dioxide recycle stream and an enriched carbon dioxide product stream; producing an essentially pure carbon dioxide product stream, by processing the enriched carbon dioxide product stream into a deoxo methane combustor.
id-WO2013128484A1    abstract-本発明は、船舶に搭載されているディーゼル発電機関の廃熱をも利用し得る竪型煙管式コンポジットボイラ及び該ボイラを備える廃熱回収システムを提供する。　本発明の竪型煙管式コンポジットボイラ１は、缶体２と、缶体２内を上下の空間に分ける水平管板３の上側に形成された水室４と、缶体２内の水平管板３の下側に形成された排ガス導入側煙室５と、水室４内に配設された火炉６と、水室４の上部に配設されて排ガス導入側煙室５と排ガス用煙管群７で接続された排ガス排出側煙室８と、水室４の上部に配設されて火炉６と燃焼ガス用煙管群９で接続された燃焼ガス用煙室１０と、を備え、排ガス導入側煙室５及び排ガス排出側煙室８の各々は、ディーゼル主機関排ガス用の煙室８ａと少なくとも一つのディーゼル発電機関排ガス用の煙室８ｂ～８ｃとに、隔壁１２ａ～１２ｃ，１３ａ～１３ｃによって仕切られている。
id-KR200471348Y1    abstract-본 고안은 배열회수보일러(HRSG)에 급수를 하는 급수용 펌프의 전동기를 저전압에서 고전압(전 전압)으로 서서히 인가하여 기동할 수 있도록 함으로써 기계적 충격을 감소시킬 수 있도록 하는 효과와 기동 시 아크가 발생되지 않도록 하여 전동기의 절연파괴를 방지할 수 있도록 하는 효과 및 전동기의 수명을 연장시킬 수 있도록 함으로써 발전설비의 신뢰도를 향상시킬 수 있도록 하는 효과를 얻을 수 있는 배열회수보일러의 급수펌프용 전동기 제어 장치에 관한 것이다.
