id-EP3960889A4    abstract-
id-CN111121473A    abstract-本发明提供一种焦炉上升管用变孔隙率无定型多孔介质金属换热器，属于焦炉上升管余热回收技术领域。该换热器包括换热器内壁、冷空气入口、内部变孔隙率无定型金属换热介质和热空气出口，冷空气入口位于换热器上部，热空气出口位于换热器下部，换热器内壁外部包裹内部变孔隙率无定型金属换热介质。该装置采用逆流的布置方式，使用变孔隙率的无定型多孔介质金属换热介质，可对焦炉上升管荒煤气余热进行有效回收，其综合换热系数相对于传统套管式换热器可提高2倍以上。该换热器可在焦炉上升管利用较小的空间实现高效的余热回收，有效降低焦炉荒煤气的温度。
id-CN111068460A    abstract-本发明涉及一种降低二噁英排放的环保型热回收装备用排气处理装置，包括安装在反应炉上的热回收冷却装置和废气处理装置，热回收冷却装置包括冷却筒、输气管,冷却筒外壁上设有第一安装座，第一安装座上设有第一循环泵，第一循环泵输入端连接有循环管，循环管另一端与冷却筒下端连接，冷却筒内腔下端设有进气盘，进气盘下端与冷却筒的下端内壁连接，进气盘上端一侧设有排烟口，冷却筒的内壁两侧交错设有多个阻隔板，多个阻隔上贯穿设置有冷却管，冷却管盘绕设置在多个阻隔板上，冷却管两端贯穿冷却筒侧壁并分别与自来水管和热水需求端连接。通过阻隔板使高温废气与冷却管的接触时间更长，从而进行降温，减少了废气中二噁英物质的形成。
id-CN113091453B    abstract-本发明公开了一种载能复合气体烧结协同减排的方法，将烧结料面从烧结机的机头到机尾依次分成点火段、保温段、中间段、烟气升温段和机尾段，根据不同区段烟气组成和温度特征以及热量需求，在点火段导入热废气进行点火，在保温段导入热废气并同步梯级喷加富氢燃气，中间段在喷加富氢燃气的基础上耦合梯级喷加水蒸汽，将机尾段高温烟气与点火段和/或保温段的烟气循环至升温段。采用载能复合气体烧结协同减排的方法后，能够同步实现烧结过程固体化石燃料更大程度降耗和抑制污染物生成/分解生成污染物，相对常规空气烧结，可实现减排CO 2 15～25％、CO40～50％、NO X 20～40％、SO X 5～20％、二噁英50～80％。
id-CN111266398A    abstract-本发明公开了一种土壤异位修复外热双位螺旋式烘干焙烧窑。它包括上下炉体；上下炉体内各设两根炉管；进料仓通过旋片式给料机与上炉管进料口连接；旋片式给料机与带变频器的驱动电机连接；上炉管、下炉管内设螺旋输送绞龙，螺旋输送绞龙与带变频器的传动减速机连接；旋片式给料机的工作频率与螺旋输送绞龙的螺旋输送频率一致，确保前后给料速度一致；上炉管右侧与下炉管右侧上下连通；下炉管底部出料口设出料输送机；上炉管顶部设水喷淋加湿器；炉体底部设燃烧器。该设备体积较小，对场地要求低，热脱附效率高，设备故障率低，能耗低；炉管采用分段法兰连接式，可增加炉管使用寿命，减少更换炉管的成本，还可消除炉管与炉膛间缝隙，减少热量逸散。
id-CN111156820A    abstract-本发明提供了一种锑精矿真空冶炼装置。锑精矿真空冶炼装置包括：壳体、程序控温装置及压力控制装置，壳体的内部设置有熔炼腔，以及与熔炼腔连通设置的加料口和压力控制口，加料口用于添加辉锑矿、还原性燃料及碱性添加剂；程序控温装置用于分阶段控制熔炼腔中的温度；压力控制装置与压力控制口连通，用于控制熔炼腔中的真空度。采用上述真空冶炼装置从辉锑矿中提取金属锑，不仅有利于大幅提高金属锑的回收率，简化工艺流程、降低回收成本。
id-CN111238245A    abstract-一种无管式炉脱苯的余热回收装置及工艺，属于煤化工蒸苯生产工艺技术领域，可解决现有煤化工生产过程中焦炉产生的荒煤气在产生和使用过程中资源的浪费的问题，包括如下步骤：除氧水经过除氧给水泵送入汽包，汽包内的水有强制循环泵打入上升管换热器Ⅰ吸收高温荒煤气的显热，产生的气液混合物再返回汽包，气液混合物在汽包内进行汽水分离，产出的饱和蒸汽一部分并入蒸汽管网，另一部分饱和蒸汽进入上升管换热器Ⅱ再次换热成过热蒸汽进入富油加热器蒸苯，汽水分离后产出的饱和水进入上升管换热器Ⅰ继续进行循环。采用本工艺后，既能节约投资，又能减少许多设备的维护费用，成本随之大幅度降低。
id-CN110873530A    abstract-本发明公开了一种节能感应炉防尘罩，包括安装在熔炉炉本体顶部的旋转支撑座，吸烟罩旋转架与两个旋转支撑座连接，回转轴承安装在吸烟罩旋转架的另一侧用于连接吸烟罩前倾翻油缸和吸烟罩后倾翻油缸，吸烟罩安装在吸烟罩旋转架上；吸烟罩具有一个外罩壳和一个内覆板，在吸烟罩内设置保温炉盖，保温炉盖对应炉口，吸烟罩内表面覆板与吸烟罩外罩壳之间的空腔至保温炉盖外壁形成烟尘通道，吸烟罩与外排管道之间形成烟尘管道，烟尘管道连通烟尘通道和外排管道；保温炉盖与吸烟罩通过两组减震支撑组件连接。本发明烟尘排放效果好，能适应不同工况下的除尘，使用寿命长，保温效果好，有效的节约了能源。
id-CN111242192B    abstract-本发明公开了一种不确定性下多层次密度融合的余热发电锅炉温度控制方法，包括下述步骤：S1.定义余热发电锅炉温度控制特征参数体系，并对数据预处理；S2.获取锅炉状态调查表，构造锅炉调整权重矩阵；S3.用基于密度的平衡迭代规约聚类算法对初始抗体进行优化；S4.求出每个抗原与抗体之间的亲和力，更新记忆细胞；S5.依次判断记忆细胞和最优解集中是否有满意解。本发明针对余热发电锅炉发电过程中存在的温度难以精确控制，以及阀门调整过于依靠操作员经验等问题，改进了传统的免疫算法中的初始抗体产生、亲和力计算、以及最优解选取这三个过程，有效提高了算法的收敛速度，并且对锅炉的温度实现了准确快速的控制。
id-CN111197933A    abstract-本发明提供一种余热阶梯回收烟道换热管，包括烟道，烟道外套有余热回收管，所述的余热回收管与烟道同轴心线设置，余热回收管与烟道之间形成环形的余热回收通道，所述的余热回收管外壁设有保温层；烟道外壁设有多个导热翅片组；多个导热翅片组均匀的分布在烟道外壁；导热片组包括一对弧形导热片，每个弧形导热片外凸的一面朝向烟道外壁，一对弧形导热片对称设置，弧形导热片的一端为固定端，所述的固定端固定连接在烟道外壁，另一端为自由端，自由端远离烟道外壁并指向余热回收管，自由端与余热回收管的内壁之间留有间隙，一对弧形导热片自由端之间留有间隙。本发明通过设置导热翅片组，提高了热交换效率。
id-CN111117671A    abstract-本发明涉及一种低阶煤分段提质及热烟气梯级利用系统及其利用方法，属于低阶粉煤热解技术领域,具体包括回转窑的下料罩出口连接有落煤通道，落煤通道的上部设置有提质热解段，下部设置有多级冷却器，提质热解段包括安装在落煤通道内的多个换热管，热风炉的热风出口与提质热解段的换热介质入口相连接，提质热解段的换热介质出口与回转窑的进气罩入口相连接，回转窑的出气罩出口经风机与脱硫脱硝系统相连接，回转窑的出气罩出口和风机之间的管路上还安装有第一温度传感器、流量计和蝶阀，第一温度传感器与风机连锁控制，经提质热解段二次热解的提质煤进入冷却段与脱盐水进行热交换，本发明结构设计合理，能够充分利用烟气热量，降低能耗。
