id-EP2383139B1    abstract-

id-US20100174484A1    abstract-A system for optimizing a trip for a hybrid vehicle, comprising a computer programmed to determine a route for the hybrid vehicle to travel, obtain altitude and terrain information of the route, and generate a trip plan based on at least the route and altitude to minimize total energy expended along the route by encouraging regenerative braking during portions of the route, regardless of needs to slow the hybrid vehicle.

id-US9102314B2    abstract-The invention relates to an onboard network ( 1 ) for a vehicle ( 32 ), in particular a motor vehicle. The onboard network ( 1 ) comprises an electric machine ( 10 ) designed for operating in generator mode. The onboard network ( 1 ) further comprises a voltage transformer ( 12 ) that is at least indirectly connected to the electric machine ( 10 ) on the input side and a first energy accumulator ( 14 ) connected to the voltage transformer ( 12 ) on the output side, in particular an accumulator. The electric machine ( 10 ) is designed for the recuperation operation. The voltage transformer ( 12 ) is designed to detect or limit a charge state of the first energy accumulator ( 14 ) and to regulate the charge state of the first energy accumulator ( 14 ) such that the first energy accumulator ( 14 ) has a reserve capacity ( 15 ) during generator operation, preferably when driving the vehicle in an energy-consuming manner. The voltage transformer ( 12 ) is further designed to charge the reserve capacity ( 15 ) of the first energy accumulator ( 14 ) depending on a recuperation signal ( 23 ) received on the input side and representing a recuperation operation of the vehicle ( 32 ).

id-JP2010162924A    abstract-[issue] to provide a power transmission device for hybrid vehicles equipped with an internal combustion engine and an electric motor, which can transmit the driving force of those engines efficiently, and which can be configured compactly and can reduce manufacturing costs. . Solution: the input side transmission shaft 12 for the power input of internal combustion engine 2 is freely connected to the input side transmission shaft 12 through the first clutch 9, and the first input shaft 4 is freely connected to the input side transmission shaft 12 through the second clutch 10, and the input side transmission shaft 12 is freely connected to the second clutch 10. The second input axis 5 as described, the sub-axis 6 having the idle gear 21 for transmitting the rotation of the second input axis 5, the intermediate transmission axis 7 connected to the sub-axis 6 through the idle gear 21, and the output axis 8 arranged parallel to the first input axis 4 and the intermediate transmission axis 7. The first gear row is arranged on the 1 input shaft 4, the second gear row is arranged on the intermediate transmission shaft 7, and the third gear row is arranged on the output shaft 8 to transmit the rotation from the first gear row and the second gear row, and the power of the electric motor 3 is input to the auxiliary shaft 6. Selection diagram: figure 1
id-JP2010166768A    abstract-[challenges] we provide a control device, a control system, and a control method that can reliably charge a vehicle's energy storage device from a commercial power source without the breaker being activated. The solution is a control device that USES the power supplied from the power supply device 410 outside the vehicle through the charging cable 300 to charge the power storage device 151 installed on the vehicle, and the operating characteristics of the breaker 430 integrated into the power supply device 410. The storage unit that stores the data, the charging processing that controls the charging current so that the charging state of the storage device 151 becomes the target charging state, the operating characteristics data stored in the storage unit are input from the power supply device 410 and provided through the breaker 430. According to the total current value, when the operation of breaker 430 is predicted by breaker breaker prediction processing and breaker breaker prediction processing, charging current adjustment processing is used to adjust the charging current variable through charging processing. With a control unit that performs and. Select diagram: figure 4
id-JP2010166669A    abstract-[problem] avoid abnormal power supply from the power supply equipment to the vehicle in an electric vehicle where the microwave output from the power supply equipment installed outside the vehicle is received power without contact with the power supply equipment and can be run by an electric motor using the received power. Solution: the power receiving device 110 receives non-contact microwaves output from the power supply device 200. By reflecting the microwave output from the power supply equipment 200, the detection unit 150 can detect the obstacle 160 in the car that becomes an obstacle to the power supply equipment 110 from the power supply equipment 200. When the obstacle 160 is not detected by the detection unit 150, the control unit 170 sends the power supply permit instruction to the power supply equipment 200, which permits power supply from the power supply equipment 200 to the power supply equipment 110. Selection diagram: figure 1
id-JP2010173406A    abstract-[challenges] it is possible to maintain the vehicle body in a stable state at any time even if the inverted control is stopped, regardless of the condition of the occupant or the payload. Be able to be used to the whole. The vehicle control device is a vehicle center of gravity acquisition device to obtain the position and/or height of the center of gravity of the vehicle, and a attitude limiting control device to control the position and/or shape of the attitude limiting device according to the center of gravity of the vehicle acquired by the vehicle center of gravity acquisition device. Get ready. Selection diagram: figure 1
id-US20160303977A1    abstract-A battery monitoring system, comprises a battery state detection circuit that detects battery states of a plurality of battery cells that are connected in series, based on respective cell voltages of the plurality of battery cells, and a control circuit that monitors state of a battery cell, based on each cell voltage of the plurality of battery cells. The control circuit inputs pseudo voltage information to the battery state detection circuit, and thereby diagnoses whether or not the battery state detection circuit is operating normally.

id-US8115334B2    abstract-A system and method for operating power take-off (PTO) systems aboard hybrid and electric systems and vehicles is disclosed. The PTO system includes an energy storage device configured to supply electrical power and at least one electrical drive system electrically connected to the energy storage device to receive the electrical power, with each of the at least one electrical drive systems configured to convert the electrical power to a desired mechanical power. The PTO system also includes at least one PTO shaft mechanically connected to each of the at least one electrical drive systems that is driven by the mechanical power to generate a mechanical output, with the mechanical output of each of the at least one PTO shafts being independently controllable from the mechanical output of other PTO shafts.

id-US8305018B2    abstract-If it is determined that excess power is generated based on overcharge information of a power storage device, a controller starts an operation of consuming the excess power by an excessive power consuming circuit. The controller counts elapsed time from the time point when the power consuming operation started, and if the counted elapsed time exceeds a minimum on-time set in advance, switches the excessive power consuming circuit from active to inactive state. The minimum on-time is set based on a pattern that is expected to cause generation of excessive regenerative power from an AC electric motor because of abrupt change in running status of an electric powered vehicle mounting a motor drive system.

id-US7976110B2    abstract-A hybrid braking system that operates in conjunction with a foundation braking system, whether an air, hydraulic, electric, mechanical or electric braking system. Recovered energy is returned to the axle wheels in a controlled manner while the vehicle is in motion and certain criteria are met so as to compensate for aerodynamic drag and rolling resistance for instance but not at a rate to accelerate or launch a vehicle.

id-US8217544B2    abstract-A motor-generator has a stator including an annular stator core and stator windings wound on the stator core, an annular inner rotor located radially inward of the stator core, and an annular outer rotor located radially outward of the stator core. Each of the inner and outer rotors is made of a soft magnetic material or magnetic steel. The stator core consists of a plurality of stator core segments each being in the form of a tooth. The stator windings are wound on the stator core in a continuous distributed winding manner at a predetermined winding pitch. The outer rotor consists of a plurality of outer rotor segments each of which is magnetically polarized to have opposite polarities on opposite circumferential ends thereof. Each of the outer rotor segments is offset from the inner rotor by a predetermined electrical angle that corresponds to the winding pitch of the stator windings.

id-WO2010096317A1    abstract-A method for estimating power capability of a power source driving an electrical load can include obtaining initial values of power source parameters including a voltage value and a current value while preventing the power source from causing kinetic energy to be produced in the electrical load. The method can also include estimating power capability of the power source based on the initial values of the power source parameters.

id-JP2010173610A    abstract-[challenges] to improve fuel efficiency while ensuring drivability when switching from cooperative control to hydraulic braking in electric vehicles with coordinated brake control. [solution] in response to an increase in the absolute value of deceleration calculated by the decrease in vehicle speed VS, the system can be adjusted to reduce the first reference value alpha for reducing regenerative braking power and the second reference value beta for stopping regenerative braking power. Set. Then, based on the comparison between the first and second reference values and the vehicle speed, the reduction in the share of regenerative braking force is started and the generation of regenerative braking force is stopped. For example, if a vehicle has a low speed limit, it may be able to reduce the speed of the vehicle by reducing the speed of the vehicle to a low speed limit. Select diagram: figure 3
id-JP2010193570A    abstract-[challenges] we provide a power supply system for electric power storage type trains that can be charged in a shorter period of time, reduce the weight of electric vehicles, and reduce the maintenance cost. [solution] The electric vehicle 1 is equipped with the power storage device 11 and the power supply device 16 is equipped with the power supply system. The electric vehicle 1 has a pair of charging terminals 53a and 53b connected to the positive and negative electrodes of the power storage device 11, and the power supply device 16 is equipped with the rectifier 4 Ground power storage device 5 connected in parallel with rectifier 4, DC/DC converter 6 with a pair of input terminals connected to the positive and negative poles of ground power storage device 5, and a pair of power supply terminals 26a connected to a pair of output terminals of the converter 6. The power supply terminals 26a and 26b are moved so that 26b and a pair of power supply terminals 26a and 26b are in contact with a pair of charging terminals 53a and 53b in a state separated from each other, or in a state separated from the contact state. It has a mobile terminal. Selection diagram: figure 1
id-EP2228250A2    abstract-About inventing an Energiemanagement Kraftfahrzeuges internal combustion engine environment, as well as a backup power supply and generator Stromverbraucher symptoms, where the generator Rekuperationsphasen dynamic energy and/or Bremsenergie Kraftfahrzeuges converted into electricity, backup power speicherbar, full at least Heizelement Betriebsmedien? Comparatively speaking, at least one Heizelement in the first stage is first to meet the energy from the backup power supply, if the Basiswerte strain ", inviting a Differenzbetrag from the backup power supply Meli energy by raising the information Rekuperationsphase Generatorspannung mounts the backup power supply. Until the entnommene Differenzbetrag from the back-up power supply through the ruckgewonnene energy bullets in the Rekuperationsphase back-up power supply throughout the process, the generator continuously supplies energy to the consumer, when under the limits of the enterprise network, at least to turn off the electrotherapy cells.
id-JP2010200557A    abstract-[challenges] we provide a regenerative coordination control device and a regenerative coordination control method that prevents the driver of a vehicle driven by an electric motor from suddenly releasing the brake. The solution is to continuously detect the battery status through the battery allowance capacity data acquisition section 110 to obtain the battery allowance capacity data, and to correct the acquired battery allowance capacity data according to the update timing of the data that meets the specified conditions. Update the obtained battery residual capacity data. On the other hand, the correction amount related to the correction of the acquired battery allowance capacity data is estimated with the correction amount estimation section 120 before the update time of the corresponding data in the battery allowance capacity data acquisition section 110 arrives. According to the estimate, in the case that the correction amount is large and the regenerative power is expected to be greatly reduced, the regenerative braking ratio in the regenerative coordination control is reduced in advance and the friction braking ratio is increased to prevent the shortage of total braking force. Selection diagram: figure 1
id-JP2010193677A    abstract-Challenges to provide a power supply system that can supply power only to mobile vehicles running at limited speed and prevent environmental destruction and pollution. The power supply system of the present invention supplies power from the power supply device to the mobile body and has a power supply control device that controls the supply of power from the power storage device to the power supply device. In addition, electricity can be supplied to the mobile body when it travels in a predetermined place at a speed limit. Selection diagram: figure 1
id-JP5340381B2    abstract-

id-US8747265B2    abstract-A power transmitting device having a main input shaft selectively connected to an output shaft of an engine by a main clutch CM; first and second sub input shafts disposed coaxially and selectively connected to the main input shaft by clutches C 1  and C 2 , respectively; an output shaft connected to the first and second sub input shafts via a pair of gears, respectively, and outputting motive power to driving wheels via a counter shaft; and a deceleration mechanism configured to be capable of differentially rotating a sun gear, which is connected to the main input shaft and an electric motor, a ring gear, and a carrier, which is connected to the first sub input shaft, with respect to one another and transmitting the motive power to the output shaft via the carrier. A brake B capable of locking the ring gear is connected to the ring gear.

id-US8836161B2    abstract-A breaker  162  is opened when a pantograph  101  is lowered. The pantograph  101  is connected to an overhead wire  200 . Voltage and its phase of the overhead wire are detected by a detector  161 . Power is supplied from a power storage device  150   c  to a tertiary winding  112   c  via a power converter  14   c  such that a primary side of the main transformer  110  has the same voltage and phase as the overhead wire so as to reversely excite the main transformer  110 . When the voltage of the main transformer  110  has the same phase as the voltage of the overhead wire  200 , the breaker  162  is turned on and then the pantograph  101  is raised, to connect the overhead wire  200  and the main transformer  110  to each other, thereby preventing the occurrence of an excitation inrush current to the main transformer  110.

id-US8086364B2    abstract-A system for operating an electric or hybrid-electric vehicle includes a computer programmed to identify a location of a vehicle, access a map and identify a plurality of links therein, pre-screen the plurality of links to identify if any of the plurality of links is within a given bounds of the current location, and if one or more possible links are identified, then match the current location of the vehicle to one of the identified links, and upload power data for the vehicle corresponding to the matched location into a database.

id-US9079484B2    abstract-It is provided a control device for a vehicle power transmission device including a shifting portion and an electric motor that provides regeneration via the shifting portion, the control device executing a downshift of the shifting portion if a traveling loss in the vehicle power transmission device after the shift is smaller than a traveling loss in the vehicle power transmission device at a current gear ratio during regenerative traveling, and the traveling loss in the vehicle power transmission device including at least one of a loss in the shifting portion and a loss in the electric motor, the loss in the shifting portion being calculated based on the operating oil temperature of the shifting portion and the loss in the electric motor being calculated based on the temperature of the electric motor.

id-EP2236339B1    abstract-

id-US9397502B2    abstract-A system and method for proportioned power distribution in arrays of power converters are disclosed. According to one embodiment, a method includes distributing a node-specific transfer function to each node of a plurality of nodes via a communication bus. Each node includes a power converter, and nodes of the plurality of nodes are electrically connected in series. Each node-specific transfer function enables each node to contribute a positive impedance to a total impedance of the plurality of nodes. The computer-implemented method further includes coordinating a setting of a parameter of each node-specific transfer function to regulate a common bus current across the plurality of nodes, and assigning to each node an electrical characteristic based on a parameter of each node-specific transfer function.

id-US8725332B2    abstract-A hybrid vehicle includes a regenerative charging area detection section, a recovery loss estimation section, and a motor use ratio increase section. The regenerative charging area detection section detects arrival of a regenerative charging possible area in which a regenerative charging from a motor to a battery is possible. The recovery loss estimation section estimates a recovery loss of the regenerative charging based on a regenerative charge amount in the regenerative charging possible area and a current remaining battery amount in response to detection by the regenerative charging area detection section. In response to estimation by the recovery loss estimation section, before the arrival at the regenerative charging possible area, the motor use ratio increase section increases a use ratio of the motor so as to decrease a remaining battery amount while limiting the temperature of the battery to a predetermined temperature range.

id-JP2010208576A    abstract-[challenges] to efficiently and effectively detect abnormalities in the intake system in hybrid vehicles. The hybrid vehicle (10) has a first motor that can control the rotation speed of the internal combustion engine (200) according to the rotation state, and a valve body (208) that can adjust the idle air volume of the internal combustion engine according to the opening degree. An intake pressure detection device (219) capable of detecting intake pressure on the downstream side of the valve body. The setting mechanism for setting the target rotation speed of the internal combustion engine according to the vehicle speed when the hybrid vehicle is in the state of EV deceleration, and the first motor so that the rotation speed of the internal combustion engine changes to the set target rotation speed A rotation speed control device for control and a state determination device for determining the status of the intake pressure detection device based on the detected intake pressure during the process of changing the rotation speed of the internal combustion engine to a predetermined target rotation speed. Select diagram: figure 4
id-US20110068648A1    abstract-An energy storage and generation system for an electrically powered motorized vehicle is disclosed. In one embodiment, an energy storage and generation system for an electrically powered motorized vehicle includes a stator having field coils and sensors which are provided on the inner periphery of the stator, and a rotor having permanent magnets with N and S poles arranged alternately in a circumferential direction on the outer periphery to face the field coils and housing batteries of the electrically powered motorized vehicle. The energy storage and generation system also includes a drive control unit connected to the sensors and the field coils for generating magnetic field in the field coils of the stator in response thereto to rotate the rotor. The rotation of the rotor stores rotational kinetic energy due to the dead weight of the plurality of batteries which is used to propel the electrically powered motorized vehicle.

