id-JP5720701B2    abstract-

id-EP2476573B1    abstract-

id-US9018812B2    abstract-Manual drive energy is input into a transport device of one embodiment by linearly reciprocating a first drive member that couples by way of a ratchet mechanism (or other mechanical motion rectifier means) and a mechanical motion amplifier means to one or more faster spinning flywheel masses. The one or more flywheel masses are formed in part by a combination electric motor/generator and it has rechargeable electric batteries distributively provided about a flywheel mass portion thereof. Tapered roller bearings having ferromagnetic material are interposed between the one or more flywheel masses and/or between one of the flywheels and a stationary frame of the transport device so as to repeatedly make and break closed magnetic flux conducting loops and thus provide at least one of an electric motoring and electricity generating function.

id-US20120180468A1    abstract-A system and associated devices that can be used to transform vibrational energy absorbed by the wheels of an automobile into captured energy for use by the automobile. A method to charge an automobile's electric battery without burning fuel and in a shorter time period than prior approaches. A method to assure a smooth drive for an automobile by reducing vibrations associated with the automobile. An apparatus that provides for the vector superposition of the magnetic fields from a plurality of adjacent permanent magnets and maximizes radial magnetic flux density within coil windings for optimal power generation and energy conversion efficiency of an automobile. A system, method, and apparatus for compressing air resulting from the passage of a automobile over a roadway, thereby providing generation of power for the automobile.

id-US20120175200A1    abstract-A system is provided for customized vehicle deceleration. The system includes a braking system and a brake pedal position sensor that transmits a brake pedal position signal. A user interface is configured for transmitting a profile selection signal in response to a user input. A controller is configured for receiving the brake pedal position signal, the profile selection signal and an available torque signal, the available torque signal being indicative of a braking system torque capability. The controller analyzes the profile selection signal, to select a brake profile from pre-existing data. The controller compares the brake pedal position signal to the brake profile to determine a deceleration value. The controller compares the deceleration value to the available torque signal to determine a torque command. The controller transmits a torque command signal to the braking system for initiating braking.

id-WO2012105933A1    abstract-The invention is a combination accumulator and reservoir which stores energy when the accumulator deforms from its original shape in response to the flow of a pressurized fluid from the reservoir. The stored energy is returned when the fluid flow is reversed and the accumulator discharges the fluid and returns to its original shape. At least one part of the novelty of the invention is that the accumulator and the fluid reservoir reside in the same housing such that the volume of each varies inversely. Accordingly, the invention is more compact and weighs less than conventional accumulators. Another feature of the invention is that fluid is located around the bladder accumulator to lubricate contact between the bladder and sides of the reservoir.

