id-EP3251888B1    abstract-

id-EP3045334A1    abstract-The present invention is directed to a conversion kit for converting a karting vehicle from a gasoline motor driven karting vehicle comprising a gasoline motor fixed to the karting vehicle by means of gasoline motor fixing means, to an electric motor driven karting vehicle comprising an electric motor, said conversion kit includes: (a) a motor frame, (b) an electric motor mounted on the motor frame, (c) a motor control unit mounted on the motor frame, (d) a transducer for delivering an electric signal to the electric motor control unit, said electric signal being proportional to an accelerator pedal or throttle lever movement, said transducer being connectable to the motor control unit, (e) a battery assembly for powering the electric motor, (f) a transmission adapter for coupling the electric motor to the vehicle's transmission, characterized in that, (g) the motor frame comprises frame fixing means adapted for being mounted on fixing the motor frame to the karting vehicle after removal of the gasoline motor, using at least part of the gasoline motor fixing means, and (h) the transducer comprises acceleration coupling means for coupling an accelerator pedal or a throttle lever of the karting vehicle to the transducer.      In addition, the present invention is directed to an automated safety control system for a recreational vehicle circuit, a karting circuit, or a racing circuit, preferably comprising such conversion kits.      Further, the present invention is directed to an automated educative or game control system for a recreational vehicle circuit, a karting circuit, or a racing circuit, preferably comprising such conversion kits.      In addition, the present invention is also directed to a method for converting a gasoline motor driven karting vehicle to an electric motor driven karting vehicle, said method comprising the following steps: (a) Providing a karting vehicle comprising a gasoline motor fixed to the karting vehicle by means of gasoline fixing means, and comprising an accelerator pedal or a throttle lever coupled to said gasoline motor, (b) Uncoupling the accelerator pedal or a throttle lever from the gasoline motor, (c) Removing the gasoline motor from the karting vehicle by uncoupling the gasoline motor fixing means, (d) Mounting a conversion kit according to any of claims 1 to 10 onto the karting vehicle by coupling the frame fixing means to at least part of the gasoline motor fixing means of the karting vehicle, (e) Coupling the transducer to the accelerator pedal or throttle lever of the karting vehicle, by means of the acceleration coupling means.

id-JP6073941B2    abstract-

id-US20160221448A1    abstract-A number of variations include a product comprising a transfer case comprising a hydraulic system comprising a hydraulic fluid and a hydraulic pump or hydraulic motor wherein the hydraulic system is constructed and arranged to capture energy from regenerative braking of the at least one brake of at least one drive.

id-WO2016137604A1    abstract-High surge currents associated with heavy braking and rapid acceleration of electric and hybrid electric vehicles result in reduced battery life and excessive heating of motors, generators and electronics. These can be reduced in two ways. 1. By the use of a speed changing transmission such that the motors and generators operate at higher speeds and therefore lower currents for the same power. 2. By providing an auxiliary regenerative braking means that can handle high power levels thereby reducing the load on the electric system. This invention describes a hydraulic device that can function as a speed changing transmission and/or a regenerative braking system that can handle very high power levels. It is implemented using fixed displacement pumps and motors to achieve low cost and high reliability.

id-US20180194337A1    abstract-A pressure generating device may comprise a piston-cylinder unit having a bilaterally acting piston with two effective surfaces defining two respective, separate working spaces in a sealing manner. Each working space is connected via a hydraulic line to a hydraulic circuit, wherein at least one hydraulic chamber of a consumer is connected to each hydraulic circuit, and wherein a drive drives the piston. Each working space may be in communication with a reservoir for hydraulic medium, via a respective hydraulic line having a respective switching valve. Alternatively, one or both working spaces may be in communication with a reservoir for hydraulic medium via a hydraulic line, with a switching valve in one or both hydraulic lines, and/or a respective outlet valve may be associated with one or more hydraulic chambers of the consumer, and a further connecting line having a switching valve may connect the pressure chambers and/or hydraulic lines.
