id-EP3402968B1    abstract-

id-US9845750B2    abstract-Methods and systems are provided for exhaust gas heat recovery at a split exhaust gas heat exchanger. Exhaust gas may flow in both directions through an exhaust bypass passage and the heat exchanger coupled to the bypass passage. Warm or cold EGR may be delivered from the exhaust passage to the engine intake manifold and heat from the exhaust gas may be recovered at the heat exchanger.

id-US20210140391A1    abstract-A number of variations may include a system which may include an electrified turbocharger along with a waste heat recovery system which may have at least a first boiler operably coupled to a vehicle engine system in order to recover waste heat therefrom. The waste heat recovery system may additionally include at least one waste heat recovery expander. The waste heat recovery system may be operably coupled to a turbocharged system which may have at least one electrified turbocharger. The electrified turbocharger and the waste heat recovery expander may be electrically coupled to a single electric machine.

id-EP3199774B1    abstract-

id-JP6721351B2    abstract-

id-WO2017133836A1    abstract-The invention comprises a device for heating hot water and a device for raising the temperature of hot water. To operate an incinerator in a simple and inexpensive manner, this device (1) will be made with heating Heizwasser(5), with power (2) with internal combustion engines (3)Stromerzeugers(2) with human power and a container (4)Heizwasser (5) befullbar in the container while the internal combustion engine (3)(4) is ordered to have such direct contact from the internal combustion engine (3) with Heizwasser (5).
id-US10711993B2    abstract-An exhaust heat recovery device includes: a main passage through which an exhaust gas containing a corrosive component flows; a boiler which heats a heat medium using the exhaust gas; a bypass passage connected to the main passage so as to detour around the boiler; a regulation valve member which regulates a flow rate of the exhaust gas flowing into the boiler; a heat medium circuit which circulates the heat medium that is heated to be in a hot-water state by the boiler; a binary electricity generation device which recovers thermal energy from the heat medium in the heat medium circuit and generates electricity; and a valve control unit which controls an opening of the regulation valve member such that a temperature of the exhaust gas passed through the boiler is equal to or higher than a temperature of an acid dew-point of the corrosive component in the exhaust gas.

id-US20170234266A1    abstract-Provided is a waste heat recovery power generation system, including: a compressor configured to compress a working fluid; a heat exchanger configured to recover waste heat from waste heat gas supplied from a waste heat source, the recovered waste heat heating the working fluid; a turbine configured to be driven by the working fluid heated by the recovered waste heat; and a recuperator configured to exchange heat between an output fluid of the turbine and an output fluid of the compressor to cool the output fluid of the turbine in which the output fluid of the compressor is branched into a first output fluid and a second output fluid of the compressor.

id-EP3411586B1    abstract-

id-WO2017136735A1    abstract-An advanced aftertreatment concept is presented that utilizes gaseous NH 3  injection and a waste heat recovery system having volumetric expander which captures waste heat energy from an internal combustion engine via a working fluid. The NH 3  comes from the waste heat recovery system's working fluid and is immediately available without the need for a warm-up period on cold start. The consumed NH 3  is automatically re-charged in the waste heat recovery system by on-board DEF. The proposed WHR uses NH 3 -H 2 O as the working fluid. NH 3 -H 2 O has very favorable thermodynamics for a waste heat recovery application. A method of control is also presented that maintains an appropriate ammonia level and concentration in the system.

id-US10018145B2    abstract-Methods and systems are provided for an in-cylinder thermal energy recovery device that utilizes the Rankine Cycle to recover energy from exhaust gasses that may be used to produce additional work in the vehicle. In one example, a method may include outfitting the head area of each cylinder of an engine with a tube array comprising one or more tubes passing through the combustion chamber of the corresponding cylinder. Each tube array may receive an injection of working fluid that is based, in part, on the temperature of the tube array's corresponding cylinder, which may then be utilized to recover heat energy.

id-US9810129B2    abstract-A system for recovering waste heat energy for a motor assisted turbocharger, including a turbine, a first power transmission device connected on a first side to the turbine, a drive gear disposed about and connected on a first side to a second side of the first power transmission device, a second power transmission device connected on a first side to a second side of the drive gear, and a compressor connected to a second side of the second power transmission device. The system further includes a motor gear drivingly connected to the drive gear, a motor generator connected to the motor gear, a waste heat recovery circuit including an expander, an output gear connected to the expander and drivingly connected to the motor gear.

id-JPWO2017169594A1    abstract-The gas turbine plant will be equipped with a gas turbine (10), a waste heat recovery boiler (100), and a water supply system (70) to supply water to the waste heat recovery boiler (100). The exhaust heat recovery boiler (100) consists of an evaporator (109), which heats water with exhaust gas to produce steam, and a reheater (106), which heats external steam with exhaust gas passing through the evaporator (109). The water supply system (70) has a water supply line (71) that sends water from the water supply source (68) to the heat recovery boiler (100), and a water supply temperature regulator (77) that regulates the temperature of the water supply, which is the water flowing through the water supply line (71).
id-US10040335B2    abstract-A thermal management system for a vehicle may be selectively controlled to supply heat from any one of a plurality of different heat sources, to any one of a plurality of different heat sinks. The heat sources may include: an internal combustion engine, a cylinder head, an exhaust gas heat recovery system, an exhaust gas recirculation system, or a turbocharging system. The heat sinks may include: the internal combustion engine, the cylinder heat, an engine oil cooler, a transmission oil cooler, and a heating core. Each of an engine oil cooler control valve, a transmission oil cooler control valve, a heating core control valve, an engine block control valve, a cylinder head control valve, a bypass control valve, and a heat transfer control valve are controlled to effectuate a desired operating mode for the thermal management system.

