id-EP2615265B1    abstract-

id-WO2013109581A1    abstract-A method is provided for generating and distributing electricity via an electrical grid, wherein a fossil fuel plant and a renewable energy electricity generating station are interconnected with the electrical grid and are both operable to generate electricity output. The electricity output is directed from both the fossil fuel plant and the renewable energy electricity generating station to the electrical grid for distribution. Then, at the fossil fuel plant, at least a portion of the electricity output is directed to within the plant and utilized in generating hydrogen. The method provides further a reacting step wherein the generated hydrogen reacts with carbon dioxide to produce methane. Continued operation of the fossil fuel plant is conducted utilizing the produced methane as fuel, to generate electricity output, and also, capturing carbon dioxide exhaust and utilizing it in the reacting step.

id-US20150136374A1    abstract-A heat exchanger assembly, comprising: heat exchanger pipework which comprises a plurality of elongate tube elements which extend in spaced relation and a plurality of pipe end couplings which fluidly connect open ends of respective tube elements, wherein the pipe end couplings each comprise a main body part to which the open ends of the respective tube elements are fixed, and an enclosure part which is fixed to the main body part and provides a closed fluid connection between the open ends of the respective tube elements; and a plurality of fins which extend in spaced relation and optionally substantially orthogonally to the tube elements, wherein the fins each comprise a sheet element, optionally a single, continuous sheet element, which includes a plurality of apertures through which extend respective ones of the tube elements, and a plurality of fin coupling elements which are located within respective ones of the fin apertures to interface the tube elements to the sheet elements.

id-EP2802821B1    abstract-

id-JP2015511291A    abstract-The invention relates to a steam generator using the Rankine process used in a waste heat recovery device for an internal combustion engine suitable for an automobile, a heat exchange channel (2) equipped with a heat exchanger (3) and a bypass of the heat exchange channel (2). The heat exchange channel (2) and the bypass channel (4) shall be subjected to the circulation of the heated fluid during the operation of the steam generator (1), and the heat exchanger (4) shall be subjected to the circulation of the heated fluid during the operation of the steam generator (1). 3) may receive the circulation of the medium for evaporation, and the heat exchange channel (2) shall cover the bypass channel (4). Selection diagram: figure 1
id-US9086015B2    abstract-An integrated oxy-combustion turboexpander process including producing an enriched carbon dioxide product stream, by combusting a compressed synthetic air stream, including an oxygen-enriched stream and a carbon dioxide recycle stream, with a fuel stream and expanding the combustion stream thereby producing the carbon dioxide recycle stream and an enriched carbon dioxide product stream; producing an essentially pure carbon dioxide product stream, by processing the enriched carbon dioxide product stream into a deoxo methane combustor.

id-WO2013128484A1    abstract-The invention provides a vertical smoke tube composite boiler and a waste heat recovery system equipped with such a boiler, which can also utilize the waste heat of a diesel power generator installed on a ship. The vertical smoke tube type composite boiler 1 of the present invention comprises a water chamber 4 formed on the upper side of can body 2, a horizontal pipe plate 3 which is divided into upper and lower Spaces in can body 2, a smoke chamber 5 formed on the lower side of horizontal pipe plate 3 in can body 2, and a fire arranged in water chamber 4 Smoke room 10 for combustion gas is arranged above water room 4 and connected with furnace 6 and smoke tube group 9 for combustion gas. Smoke room 10 for combustion gas is arranged above water room 4 and connected with furnace 6 and smoke tube group 9 for combustion gas. Each of the introduction side smokehouse 5 and the exhaust side smokehouse 8 contains a bulkhead 12a to 12c in the smokehouse 8a for the diesel main engine exhaust and at least one diesel power engine exhaust smokehouse 8b to 8c. They are numbered 13a to 13c.
id-US20140041394A1    abstract-A method and system for integrating a power plant and a post combustion capture plant for producing carbon dioxide. The power plant can provide electricity to the post combustion capture plant created by passing steam from a boiler through turbines and feeding the flue gas created by heating the boiler as a feed gas stream to the post combustion capture plant. A back pressure turbine is utilized to provide a significant amount of electrical power while extracted steam is being expanded before being introduced into the reboiler present in the post combustion capture plant

id-EP2634483A3    abstract-In order to overcome the problems that earlier methods have experienced, a method for providing heat to a carbon dioxide (CO 2 ) post combustion capture process is proposed, comprising the steps: a) generating electricity from a boiler (A) by feeding steam from said boiler (A) to one or more turbines (B, C, D); b) feeding flue gas from said boiler (A) to a waste heat recovery unit (M); c) capturing heat in said waste heat recovery unit (M); and d) feeding heat to said post combustion capture process.

id-US20130236845A1    abstract-Described herein are embodiments of systems and methods for oxidizing gases. In some embodiments, a reaction chamber is configured to receive a fuel gas and maintain the gas at a temperature within the reaction chamber that is above an autoignition temperature of the gas. The reaction chamber may also be configured to maintain a reaction temperature within the reaction chamber below a flameout temperature. In some embodiments, heat and product gases from the oxidation process can be used, for example, to drive a turbine, reciprocating engine, and injected back into the reaction chamber.

id-EP2831385B1    abstract-

id-JP2015510081A    abstract-The invention relates to a exhaust heat utilization device (1) for an automobile, which includes: Evaporator (6) for evaporation of the working medium arranged in the exhaust heat utilization circulation path (3) downstream of the conveying device (5) An expander (7) for the expansion of the working medium arranged downstream of the evaporator (6) in the exhaust heat utilization circulation path (3) A condenser (8) for condensing the working medium located downstream of the expander (7) in the exhaust heat utilization circulation path (3) A generator (13), which is directly or indirectly driven and connected to the power take-off shaft (4) of the automobile's internal combustion engine (2) In this case, the expander (7) is directly driven connected to the power take-off shaft (4) of the internal combustion engine (2) for energy recovery.
id-EP2639414A3    abstract-The invention is based on a fuel cell device with at least one cooling loop connected to a circulating steam turbine. Burning as a coolant in the cooler will increase the efficiency of the fuel cell system and ensure its reliability.
