id-EP3282203B1    abstract-

id-JP2016198706A    abstract-[challenges] to reduce the energy consumption required for the recycling of moisture-absorbing materials. [solution] a moisture-absorbing part having a moisture-absorbing material containing a stimulus-responsive polymer that reversely changes into hydrophilic and hydrophobic in response to a predetermined external stimulus (42a, 42b) includes a stimulation addition unit (heating part 22) for providing external stimulation to switch the moisture absorbent from hydrophilic to hydrophobic; Selection diagram: figure 1
id-EP3096089B8    abstract-

id-WO2016163380A1    abstract-The side air conditioner (3a, 3b) consists of a casing (31a, 31b), a side heat exchanger (33a, 33b) that USES a refrigerant supplied from the side air conditioner (2) to cool or heat the air in the casing (31a, 31b) and a side air conditioner (3a, 3b). The air supply and exhaust mechanism that takes in indoor and outdoor air from the air conditioned space and the air conditioned space, supplies the air supplied to the air conditioned space, and displaces the air as the air discharged to the air conditioned space, and the refrigerant leakage detection device (48a, 48b) that detects the refrigerant, etc. It has. Here, when the refrigerant leakage detection device (48a, 48b) detects the refrigerant, the refrigerant discharge operation is carried out by the supply and exhaust mechanism together with the air in the casing (31a, 31b) to discharge the refrigerant out of the air conditioning space.
id-US10260785B2    abstract-An outdoor unit for a heat recovery VRF air conditioning system and a heat recovery VRF air conditioning system are provided. The outdoor unit comprises: a compressor, having an exhaust port and a gas return port; a reversing assembly, having a first valve port, a second valve port, a third valve port and a fourth valve port; an outdoor heat exchanger, having a first end connected to the first valve port, and a second end connected to the second connector; a plurality of one-way valves, wherein each one-way valve has a circulation end and a stop end, and each one-way valve is opened only in one direction from the circulation end to the stop end; a throttling element; and a gas-liquid separator.

id-US20180180307A1    abstract-A membrane-based assembly and process for cooling and/or de-vaporizing a gas. The assembly and process can provide sensible cooling and/or dehumidification of air, and can be contained within a single, integrated apparatus.

id-EP3314188B1    abstract-

id-WO2017003281A1    abstract-Enthalpy-exchanging unit comprising at least one plate along whose at least one contact side a first flowable medium and a second medium can travel while exchanging enthalpy, and which enthalpy-exchanging unit comprises at least one hygroscopic material layer, which connects to at least one contact side, in contact with the first flowable medium, of the plate, wherein the mutual orientation of the plate and the material layer is such that a liquid film of the first medium can form between the plate and the material layer, wherein the liquid film is in enthalpy-exchanging contact with both the plate and the material layer, characterized in that the material layer is fastened to the plate with a plurality of seams, which extend substantially parallel to one another and are continuous, such that a plurality of channels separated from one another by the seams are formed over the contact side of the plate, with the aim of increasing the degree of spread of the first flowable medium over the contact side of the plate, and thus, on the one hand, reducing the influence of cohesion between the liquid molecules and the accompanying surface tension and, on the other hand, increasing the influence of the adhesion between the flowable medium and the plate, wherein an more even liquid supply without the use of nozzles is secured, by on the top side a supply unit provided with a porous, absorbent bed.

id-US20170010007A1    abstract-A dehumidification system including: an exhaust path for exhausting indoor air to the outdoor space; an inlet path for entering outdoor air to the indoor space from the outdoor space; an indoor air bypass path bypassing a part of indoor air to be exhausted to the exhaust path to the inlet path by connecting the exhaust path and the inlet path; an outdoor air bypass path bypassing a part of outdoor air to be flowed to the inlet path to the exhaust path by connecting the inlet path and the exhaust path; and a porous separation membrane filter installed between the indoor air bypass path and the outdoor air bypass path and passing water molecules included in indoor air passing through the indoor air bypass path through the outdoor air bypass path.

id-EP3153807B1    abstract-

id-EP3358937B1    abstract-

id-US10330331B2    abstract-An independent temperature and humidity processing air conditioning system driven by low-level thermal energy, comprising an absorption-type refrigeration circulation loop, a solution dehumidification and regeneration circulation loop, a water cooling circulation loop, and a central air conditioning air supply and air return pipeline; the absorption-type refrigeration circulation loop comprises an evaporator (21), an absorber (26), a generator pump (25), a second solution heat exchanger (27), a generator (1), a condenser (2), a water-water heat exchanger (3), and a throttle valve (20); the solution dehumidification and regeneration circulation loop comprises a regenerator (8), a first solution pump (9), a solution heater (10), a first solution heat exchanger (12), a second solution pump (16), a solution cooler (17), and a dehumidifier (18); the water cooling circulation loop comprises two branches; and the central air conditioning air supply and a return pipeline comprises an air supply pipeline (13), an air return pipeline (14), an air conditioning heat exchanger (15), a dehumidifier (18), an evaporator (21), an air supply induction opening (23), an air return induction opening (22), a second flow guide fan (11), and a regenerator (8). The present air-conditioning system can resolve the problem of efficiently driving absorption-type cooling for air conditioning adjustment under 80° C.

id-US20230095296A1    abstract-A composite exchange membrane is made by combining ionomer with porous polyolefin, such as polyethylene or polypropylene. The composite ion exchange membrane may be used in the core of an energy recovery ventilator. The core of the energy recovery ventilator may comprise corrugated or pleated supports for supporting the composite ion exchange membrane. The air flow into the energy recovery ventilator may be modified to actively create non-laminar flow.

id-US20190226703A1    abstract-A composite ion exchange membrane is made by combining ionomer with porous polyolefin, such as polyethylene or polypropylene. The composite ion exchange membrane may be used in the core of an energy recovery ventilator. The core of the energy recovery ventilator may comprise corrugated or pleated supports for supporting the composite ion exchange membrane. The air flow into the energy recovery ventilator may be modified to actively create non-laminar flow.

